dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2020-03-09 00:24:43.122186,0.10,0.00,4.57,0.68,570.16,398.11,737.59,0.78
2020-03-09 00:24:48.162967,0.10,0.00,4.60,0.68,570.16,398.11,750.76,0.78
2020-03-09 00:24:53.219931,0.10,0.00,3042.85,222.14,3519528.80,658339.00,20631830000000.00,15892.86
2020-03-09 00:24:58.244902,0.10,0.00,4.62,7198.98,667130820.00,56550500.00,764.22,0.79
2020-03-09 00:25:03.285583,0.10,0.00,1340.80,182.46,2615912.30,511723.09,994104970000.00,4547.96
2020-03-09 00:25:08.310328,0.10,0.00,4.60,7198.98,667130820.00,56550500.00,750.76,0.78
2020-03-09 00:25:13.335287,0.10,0.00,4.60,1144.42,41683492.00,5369415.50,750.76,0.78
2020-03-09 00:25:18.376188,0.10,0.00,4.62,2254.91,115897820.00,12794269.00,764.22,0.79
2020-03-09 00:25:23.400978,0.10,0.00,4.60,1144.42,41683492.00,5369415.50,750.76,0.78
2020-03-09 00:25:28.441756,0.10,0.00,4.62,2254.91,115897820.00,12794269.00,764.22,0.79
